id,timestamp,x,y,z
166093,2024-11-29 18:14:00.252,-0.414959,-1.99761,-3.94985
166097,2024-11-29 18:14:00.252,-0.414959,-1.99761,-3.94985
166092,2024-11-29 18:14:00.252,-0.414959,-1.99761,-3.94985
166095,2024-11-29 18:14:00.253,-0.414959,-1.99761,-3.94985
166094,2024-11-29 18:14:00.253,-0.414959,-1.99761,-3.94985
166096,2024-11-29 18:14:00.253,-0.414959,-1.99761,-3.94985
166100,2024-11-29 18:14:00.256,-0.473336,-2.03602,-4.32616
166105,2024-11-29 18:14:00.256,-0.473336,-2.03602,-4.32616
166098,2024-11-29 18:14:00.256,-0.473336,-2.03602,-4.32616
166106,2024-11-29 18:14:00.257,-0.473336,-2.03602,-4.32616
166099,2024-11-29 18:14:00.257,-0.473336,-2.03602,-4.32616
166101,2024-11-29 18:14:00.257,-0.473336,-2.03602,-4.32616
166102,2024-11-29 18:14:00.257,-0.473336,-2.03602,-4.32616
166103,2024-11-29 18:14:00.257,-0.473336,-2.03602,-4.32616
166104,2024-11-29 18:14:00.257,-0.473336,-2.03602,-4.32616
166107,2024-11-29 18:14:00.257,-0.473336,-2.03602,-4.32616
166109,2024-11-29 18:14:00.261,-0.300276,-2.23602,-4.42971
166113,2024-11-29 18:14:00.261,-0.300276,-2.23602,-4.42971
166111,2024-11-29 18:14:00.261,-0.300276,-2.23602,-4.42971
166115,2024-11-29 18:14:00.261,-0.300276,-2.23602,-4.42971
166108,2024-11-29 18:14:00.262,-0.300276,-2.23602,-4.42971
166110,2024-11-29 18:14:00.262,-0.300276,-2.23602,-4.42971
166112,2024-11-29 18:14:00.262,-0.300276,-2.23602,-4.42971
166114,2024-11-29 18:14:00.262,-0.300276,-2.23602,-4.42971
166121,2024-11-29 18:14:00.266,0.0755882,-2.56449,-4.06616
166117,2024-11-29 18:14:00.266,0.0755882,-2.56449,-4.06616
166125,2024-11-29 18:14:00.266,0.0755882,-2.56449,-4.06616
166119,2024-11-29 18:14:00.266,0.0755882,-2.56449,-4.06616
166123,2024-11-29 18:14:00.266,0.0755882,-2.56449,-4.06616
